id,sentence,human,unsure
10,老公对COSTA很满意，他认为用料比星巴克考究，每调一杯咖啡都是新开一小瓶奶，能这样认真的对待产品，还是很值得表扬滴，要了一杯拿铁一杯朱古力，呵呵，味道都不错呀,1,0
11,这里真是新啊，试用品都蛮新的，没几个人试过的样子，估计无限度刚开不久的关系吧~\n新店么环境自然还是不错的。主要试用品新的话心情比较舒畅啊~哈哈～\n有些东西还是蛮不错的，不过价格么丝芙兰么撒优惠。。\n看看这个价格就不想下手。。搞得我半年了那３００的卡还么用掉。。,0,1
12,晚上10点以后全场对折，所以10点不到就开始有排队了，我们10点半过去排队，大概排了半个小时不到就轮到我们了，语言不通，里面的国语好像不是很好，我听着好累啊，有几个东西都点完了，因为人均要到80，所以鲍鱼啊，龙虾啊，象鼻蚌啊穷点了，还要拿个计算机算到了没有，真是有点囧的，味道么，还可以吧，可能晚上吃了太多东西了，所以也没有觉得超级好吃的样子。。。。\n最后是朋友开英文才能沟通的= =||| 我英文无能。。。。,0,1
13,128元自助，相对划算的，没吃太多刺身和寿司。烤鳗鱼很好吃，还有那个烤基围虾，里面还放了色拉酱，连吃了4盘，哈哈。\n他们点菜的时间是2个小时，不过会提前还提醒的，很贴心。\n在最先点菜的时候我们还怕浪费，只点了没多少，后来服务员说肯定不够，又推荐了一些特色菜。\n总之下次还会来。。。,1,0
14,是吴江第一家港式甜品店，去过很多次了，每次点的都不一样，就是为了尝尝口味，感觉他家的招牌：芒果手戟还是不错，芒果很大块，也很新鲜，外面的面皮也不错，但其它就很一般了，煲仔饭做的不地道，西米露中冰也放多了，总的来说还可以吃吃！,1,1
15,在万体馆这里，很多明星开演唱会就会住在这里。去他们的咖啡厅吃过自助餐，搞活动买一送一的时候去的，人还挺多的，菜品不算很多，但味道不错，生鱼片等都挺新鲜的。还有个宴会厅，可以在里面办一些讲座等。,1,0
16,话说以前这里还是环境比较差，低档次的小酒楼，但现在经过大装修已经变得非常高档华丽的大酒家了。这里的海鲜应该要试试，无论是淡水还是咸水的河鲜海鲜都有很多品种。其他的菜式都有比较高的水平，服务也很不错。价格方面就稍稍高了点，但配得上菜式的质量。,1,0
17,电影院下面，还是蛮抓人气的，顺便今天买好电影票吃个早餐先，9：30的样子皮蛋瘦肉粥和牛堡就么了，还好买的快，皮蛋瘦肉粥买到了。就是9点多的时候员工在处理馊水之类的筒有点不当吧，这个不是应该都是晚上处理的嘛，吃个早饭看见这种脏兮兮的筒蛮不舒服的,0,0
18,每次到南京路都会来惠罗公司兜一圈，虽然多数是没有收获的，但是这里的折扣很大，难免会歪打正着。羽绒服可选择的品牌和样式也很多，营业员基本上是阿姨级别的。,1,1
19,味道很好，但是很咸，昨天我吃的羊肉泡馍，老公吃的油泼面，羊肉泡馍的量不小，价格也不便宜，18一份\n很咸很咸，害得我回家喝了好多水也不行\n糖蒜很好吃\n但是给的不算多\n其他的菜品我看了一下，价格也都不便宜\n凉菜的话，有8块的9块的，量还可以,0,1
20,店不难找，洛城广场2楼，电梯出来就是了。不知道我去的是不是时间不对，生意很冷清呢！店铺分烤肉和涮涮锅2个区，我选了涮涮锅，用了胡椒上的优惠券，一人68元，还是蛮划算的。\n锅底点了番茄和咖喱的鸳鸯锅（这里有个小插曲，鸳鸯锅是要加收15元的锅底费的，不过当初我定位的时候服务员没有说明，买单的时候我不愿支付这笔费用，领班也帮我取消了，这点还是让我很满意的），锅底一开始蛮清淡的，不过加过汤之后味道就浓了，多加几次就有点偏咸了。番茄锅很好吃，一般次火锅我都是点麻辣的，难得吃一次番茄锅，味道还真的蛮好，配牛肉，还有豆腐什么的，很赞。咖喱锅感觉也蛮好，一些绿叶的蔬菜涮着很好吃！\n蔬菜类是在自助岛哪里自己随意取用的，不过吃不掉的话不要乱拿，浪费可不好！蔬菜品种也不少，菠菜、香菜、鸡毛菜、大白菜、藕片、黄豆芽、海带结、宽粉条、豆腐、油面筋、香菇、蘑菇……基本上火锅常点的蔬菜都有了。猪肉和牛肉是由服务员送来的，要多少和她们说就可以了，放外面没冷藏，而且也怕多拿了浪费。肉的品质层次不齐，有好有差，服务员说是部位不同造成的，不过总体还可以，挺肥嫩的！吃了不少！哈哈！,1,0
21,十一点去的 人很少 环境很好，十二点就陆续进人了，有点乱。猫眼曲奇热的吃非常好，凉了有点像趣多多。炸虾很好吃，也不是很油。两个人花了100出点头，披萨剩下了。很好下次还想去、,1,0
22,交大拖鞋斜对面的店\n不算小，里面陈设也可以\n苏泊尔的电磁炉放在桌上把鸡公煲山寨的山寨感冲淡了不少\n菜品不算便宜，性价比也一般\n味道还不错,0,1
23,圣诞节晚餐，7人去吃的，生意超好门口排队还好有预约。哈\n 所谓老锅底，汤料那是没话说的额，特色，免费的鸭血 豆腐，虽说免费，但是味道很好，特别是叫鸳鸯锅，放辣锅里边烧边吃，味道灰常好啊\n 其他的刷料的话就一般了。希望能多点品种。服务还行，叫的都能快速反应。,1,0
24,买了莲子赤豆元宵，牛肉烧卖，牛肉锅贴，砂锅，桂花糕，条头糕，还有绿颜色的糕和红颜色的糕。感觉莲子赤豆元宵还可以，牛肉烧卖1.5的价钱也就这样了，牛肉锅贴现出锅的还行，砂锅不喜欢；个人认为，总的来说，糕没有上海的好吃，不够糯，不够软。,0,0
25,每次到这里来，仿佛就是到了童年时代去的中百×店，不管是布局还是经营方式，都有传统商业的印记。记忆当中，好像没在这里找到过什么知名度较高的商品。\n不过作为食品店来说确实成功的，一楼的食品专区永远是人挤人的，曾经被我惊为天物的某牌子大红肠最早也是在这里买的。,1,1
26,公司搞年会去吃的，感觉一般，刺身不是很新鲜~各种小吃味道一般，如大多数自助一样。东一口西一口可以填肚子，但吃的决对不舒服，可能是不合个人口味吧。,0,0
27,没选对时间 端午假期去的 人叫一个多呀\n好多菜都没有 比如芝士生蚝 粉丝扇贝 \n或者就是等候时间特别长 比如 铁板烧 炭烤生蚝 牛排等\n价格嘛 因为是节日 比平时上浮了10元 138一位\n三文鱼倒是不错 可惜刀工太差 切的不好 \n生的生蚝也很不错 青口还凑活 \n其实里面的火锅烫出来的菜还不错 就是不值钱 吃多了不划算\n还是应该平时去 人少一点反而能保证质量,0,1
28,试过这么多家味多美，都觉得没有什么好吃的。但是在这家居然发现几款新鲜的品种，关键的是味道还真的不错呢。唯一可惜的就是忘了叫什么名字了。羞,1,0
29,1月29日从御龙温泉回长春途中在双阳县城随意进了这家店，楼下有四小桌、三中桌，到二楼里面一个大点的包间，8个大人点了八道菜，记得有土豆炖大鹅（￥68）、尖椒干豆腐、烧茄子、酱豆腐、家常凉菜、酸菜血肠、干锅牛肉，还有一个记不起来了，大饼子、蒸饺，4个啤酒，好像近3B，孩子付账，他们开两辆车，不能喝酒。大鹅味道佳，只是不十分烂，有点硬；酱豆腐不是长春市做法，这家店大豆腐用盐调味弄碎装盘，另上葱丝黄瓜丝白菜片包着吃，倒也十分别致。餐具是用保鲜膜自己包的，我到觉得比其他饭店的消毒餐具还要干净！,1,0
30,每家的环境都差不多的 橘色的 很温馨的感觉\n服务的效率满高 很热情\n抹茶蛋糕 上面有层厚厚的抹茶粉 中间是细沙 有点偏甜\n布丁蛋糕 还是不错地 布丁QQ 滑滑 还有红豆 喜欢\n总体来说还是满意地 有空再去试试别的,1,0
31,地段很好，对面就是989，沿马路的，朋友到了可以先隔着玻璃打个招呼。酒挺好的，八点之前点好像还半价，吃的一般般。地方不大，层次很丰富，到后面人很多，很吵。态度还可以，人多了服务就跟不上。,0,1
32,很有重庆老火锅的感觉~老板也是重庆人~很亲切~味道跟重庆火锅很像~很地道~腰片就在这吃到过~别的火锅店貌似没有~整体感觉都很重庆~就是价格有点小贵~鳝鱼20一份~就两根鳝鱼的量~我很惆怅~,1,0
33,"凭大众卡消费可送白贝,强烈推荐一鱼三吃和白贝,再加一份菜心粒滚粥,超正.\n不过牛肉太多筋,不建议点.如果是两三人去消费的话,就点上面介绍的就可以了.",1,0
34,很小的一个公园，不过历史蛮久了，至少有20多年了，里面设施比较旧了，但是人气还是挺足的，都是些上了年纪的人喜欢早上做做锻炼，或者常常小曲,1,1
35,刚到雪野的时候已经接近中午，发现这家门口停的车最多，就选了这家。\n这里的特色就是鲢鱼，但当天最小的也要七、八斤，和老公两个人无论如何也吃不了，只好放弃。\n点了醋溜疙瘩，凉拌鱼皮，泥鳅。\n醋溜疙瘩炒得太难吃了，一点都不脆，非常练牙。\n凉拌鱼皮有点腥气，吃上两口觉得很腻。\n重点谈谈这个泥鳅。\n第一次知道泥鳅炸着吃，而且还炸成那个样子。\n干炸的，椒盐味。\n非常非常非常的淡。\n泥鳅都是活的，依稀能看到它们活着进油锅时的样子……\n倒胃口！\n关键是根本没有啥“味道”可言。\n仅仅是能吃而已。\n跟服务员说要点椒盐，过了很久，一个老婆婆被打发给我们送来一碟子盐！\n真后悔没拍下来。\n油饼要等，火烧没了，建议我们尝尝手擀面。\n点了两碗，老公捞起一筷子，两根头发盘在面条里。\n恶心！\n直接退了。\n出门结账的时候，才仔细看了看他家门口挂的一众牌子。\n貌似没什么含金量，均是当地颁发的，可信度貌似不是很高。\n这顿饭吃得很不爽。,0,0
36,必胜客最喜欢去的店铺 因为是第一家。。。没得选。。。\n服务员态度不错 有次恶作剧似的 一群人就要了一个下午茶套餐 一个自助沙拉 轮着喝不放冰的冰红茶 服务员也没有生气或者鄙视 哈哈哈 而且还把不想吃的黄瓜一群人拿来做面膜 想想真是年轻啊\n貌似不能刷卡 我记得有阵子是可以的 不知道现在怎么样 经常看到摩登d小妞们出去去建行取钱\n每次都要等座 生意真的是好,1,0
37,总体来说口味差，服务也不是很好。\n一行人其中有个不吃辣的，所以点的都是不辣的菜品。除了一个豆芽丸子汤还可以（味道很淡）之外，其他的都是不提也罢。辣的就点了一个什么辣虾，虾不新鲜，连辣椒都不新鲜，颜色黑黑的，一看就知道重复用过。\n服务更不用提，上完菜就没有人管了，叫半天不来人。酸梅汤没了也没人告诉，啤酒是温的，桌子上没有汤匙，叫了好几次没人给拿。\n还是宾馆的人推荐的店，怎么会这样啊！\n加一句，后来那个不吃辣的人回酒店就拉肚子了，一个星期。。。。,0,0
38,新丰有很多分店，不过我们都是去解放路的这一家，因为离得近；另外，坐K12的时候发现武林广场附近也有，其它的就不知道了，这家店基本都是杭州本地人来吃早饭，东西好不好吃看客流量就知道了——我们去吃早饭的时间从7点到10点不等，这里从来都是顾客盈门、川流不息，永远有服务员忙不迭的收拾桌子……价格就是普通早点摊的价格，可以说是相当实惠，人均10元足够吃饱吃好了。我的体会，出门在外，午饭、晚饭都是很好解决的，早饭反而有点困难，自从找到新丰小吃店，困难就都迎刃而解了，强烈推荐！\n特味肉包：1.5元，正常的大包子，猪肉大葱馅的；\n菜包：1元，正常的大包子，荠菜馅的，有股清香，我妈的最爱，发展到最后，就是每天早上3个菜包+1杯甜豆浆，百吃不厌；\n虾肉小笼：6元（10只），同样是虾肉馅的，不知道为什么小笼吃起来似乎不如馄饨好吃；\n虾肉馄饨：4元，馅料鲜嫩，外皮爽滑，分量很足，基本吃了这个就八成饱了，推荐一下；\n喉口馒头：4元（10只），大笼蒸出来的小包子，猪肉大葱馅的，可以买半份，也就是2元5只，作早饭正好；\n油条：1元，跟平时常吃的没什么不同，只是碱有点重；\n炸糕：1元，大概类似于炸年糕。\n麻团：1元，正常的麻团味道；\n甜豆浆：1.5元，正常的甜豆浆，塑料膜封口的那种，方便带走。,1,0
39,本来很期待这里能开一条商业街...\n没想到最后营业，才发现...这里明明是条美食街...\n都是吃的东西...虽然也很不错啦...只是与期盼的有些差异...\n当然所有都是吃的也很好...\n不过肥肉也会随着这些店面的生意急速疯长...\n其实还是希望能有个综合性的商业街...\n不要单方面的都是饭店之类的...,0,1
40,以前附近有个福中林，但是后来由于店面租约原因撤走了。最近新开了这家福香林，和原来的福中林卖的东西的种类/口味/价格如出一辙，一直搞不清楚这多家福*林到底有什么关联，只是觉得他家的东西口味不错，干净卫生，价格便宜，性价比高，喜欢椰蓉条，泡芙也不错，还有各式的小点心，每次都会买大大的一兜子。蛋挞看起来也很诱人，只是还没有试过，下次买来尝尝！！,1,0
41,在德宝饭店对面，门是超东向的，幸好灯比较亮。在主干道上就能看得见。\n口味一般，尤其是烤鸭，肉不是很好吃，但价钱也不贵。水煮鱼倒还可以，比较嫩。因为是研究生同学聚会，男生基本上都去了，所以点了几瓶二锅头，酒水钱比较贵。问服务员要饮料的时候，推荐了自榨的杏仁汁，口味一般，感觉像是用粉兑水而成。蒜蓉西兰花很热，以前吃过的都是凉的，口味偏甜。最后8个人花了555，扣除酒水大概花了近400吧，价格比较适中。本来是要发票的，结果服务员说不开发票可以送11盒果汁，就没要发票，呵呵，还是不错的。,0,1
42,经常到这里来吃饺子，锅贴也不错，三鲜馅的很好吃。价格也比较便宜，天冷的时候先喝点热乎的饺子汤让人很舒服。吃过这家的棒骨，也比较赞。就是店小人多，服务员忙不过来，很多时候自己动手丰衣足食啊。,1,0
43,已经成了请外地来杭的朋友吃饭的固定餐厅了，因为第一，去半瓶子不用排队等位置，停车方便不用停车费；第二，在景区同时餐厅环境也不错，很有艺术气息，适合请朋友；第三，老板啊服务员啊很亲切，去那里很轻松自在；第四，菜的味道不错，对第一次去的朋友推荐想像鸡和铁板茄子，不过因为去的次数太多了，所以现在常常感觉点不出菜了。。。。建议老板增加新菜；第五，价格比较公道，最省的一次我一个女生三个大男生才吃了120多块，还剩了不少菜。不过不自驾过去交通还真是不算方便。,1,0
44,最近电视经常曝光那些所谓的外贸衣服都是一些二手的，更有甚者是从死人身上扒下来的。还是慎重啊。现在的外贸服装可不像90年代初的时候那种品质了。慎重选购啊！,0,0
45,朋友带着去的，本身我对鱼一般，不过还是吃了两个大鱼头，挺好吃的，调料可以用店家给的菜碟舀锅里的汤，也可以用一般的油碟，我尝了一下用汤弄的调料，感觉有些辣，就换的油碟，还是很好吃的。拌黄凉粉好吃。后来吃完鱼头还涮了很多菜，像藕，豆腐皮还有苕粉都很好吃，4个人总共吃了240，应该在火锅类里算小贵的了，不过确实很好吃，还看见其他桌点更大的鱼头，据朋友说，4个人吃那一个估计就饱了。。呵呵。。成都的好吃的就是多呀。。。。,1,0
46,朋友请客在里面吃的，食堂嘛感觉味道一般，环境也一般，就是比较便宜，在这吃饭的学生还不少。总体来说是能吃饱肚子价格又便宜是首选的食堂。,0,1
47,刚开始超喜欢他家的北海道面包和提拉米苏，不过现在北海道面包做的越来越干了，觉的奶味不浓了！红豆面包也不错但也是干了，其它的一般了！,0,0
48,距离京石高速路的出入口很近，交通十分方便，只是距离涿州市区稍微远点了。\n下面是餐厅，上面是客房。属于典型的北方风味。,1,1
49,口味其实一般，自己吃不实惠。人均12８元消费，吃12种蒸饺子，几个凉菜，一个火锅，但作为宴客很合适，形态，馅各异，主要吃饺子文化。那个火锅汤很鲜。,0,1
